account,date,trades_count,gross_pnl,avg_pnl,sentiment
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,1,0.0,0.0,25.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,88,-95.985744,-1.0907470909090908,25.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,125,-133.41237,-1.06729896,25.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,689,951.934443,1.3816174789550073,25.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,411,371.503,0.9039002433090024,25.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,603,-1892.58947,-3.138622669983416,25.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,97,3434.689308,35.40916812371134,25.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,568,2654.14315,4.672787235915493,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,680,1867.252909,2.7459601602941177,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,330,1969.39321,5.967858212121212,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,338,-4648.8710550000005,-13.754056375739646,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,67,0.0,0.0,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,83,5179.772745,62.40690054216868,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-07-03,37,0.0,0.0,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-08-03,47,2099.019688,44.65999336170213,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-09-03,65,656.540742,10.1006268,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-10-03,53,-1065.797583,-20.109388358490566,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-11-02,124,-12346.990829,-99.57250668548387,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-12-02,159,355.5854,2.2363861635220124,75.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-12-03,53,1591.753271,30.03308058490566,75.0
0x271b280974205ca63b716753467d5a371de622ab,2024-05-12,4,208.81746,52.204365,75.0
0x271b280974205ca63b716753467d5a371de622ab,2024-07-15,5,-1.0,-0.2,50.0
0x271b280974205ca63b716753467d5a371de622ab,2024-11-29,1,1584.342755,1584.342755,100.0
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,313,5942.547242,18.985773936102234,25.0
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,863,8277.307357,9.591317910776361,25.0
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,353,2638.012587,7.47312347592068,25.0
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,594,-19037.340561,-32.04939488383839,50.0
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,469,-108176.9187,-230.6544108742004,75.0
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,70,8157.112326,116.53017608571429,75.0
0x271b280974205ca63b716753467d5a371de622ab,2025-04-25,1,0.0,0.0,75.0
0x271b280974205ca63b716753467d5a371de622ab,2025-09-04,797,16706.884912,20.96221444416562,75.0
0x271b280974205ca63b716753467d5a371de622ab,2025-10-04,339,13264.043303999999,39.12697139823008,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-01-12,193,4458.25495,23.099766580310877,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-02-12,140,1283.846047,9.170328907142856,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-03-12,78,1190.358719,15.261009217948718,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-04-12,112,9066.169646,80.94794326785714,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-05-12,98,14685.787664,149.8549761632653,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-06-12,69,389.176232,5.640235246376812,75.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-07-12,86,4008.012049,46.60479126744186,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-08-12,102,554.009942,5.431470019607843,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-09-12,213,768.430838,3.6076565164319248,25.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-12,157,980.557461,6.245588923566879,50.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-12,93,1582.001112,17.010764645161288,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-16,93,159.100072,1.7107534623655916,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-17,95,161.289904,1.6977884631578948,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-18,162,147.410285,0.9099400308641975,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-19,213,233.36546,1.0956124882629108,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-20,407,-316.245208,-0.7770152530712531,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-21,446,780.001314,1.748881869955157,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,433,141.21958999999998,0.32614224018475746,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-23,156,673.6312,4.318148717948718,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-24,69,108.321127,1.5698714057971015,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-25,225,464.281002,2.06347112,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-26,217,-508.290641,-2.342353184331797,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-27,169,193.66415899999998,1.1459417692307692,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-28,207,165.532644,0.7996746086956522,100.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-29,206,9551.73423,46.36764189320388,100.0
